model_name,target_used,price_segment,count,mae,rmse,mape,median_absolute_error,mean_residual
Lasso,log_target_price,Premium,174,12.891160511140987,16.479039967089317,0.2717827486401869,10.442754394327544,6.28341197850541
Lasso,target_price,Low,597,2.655872497307209,3.4887604952337985,0.6491498534420032,2.043860528465362,-0.7700227422425003
Lasso,target_price,Mid,437,3.294251953506569,4.409992393795098,0.281585612276546,2.508256707458676,-1.0976238421291766
Lasso,target_price,High,252,5.679283122071703,7.6415439281328785,0.2580741571363182,4.150733521141499,-1.263856265584788
Lasso,target_price,Premium,174,13.990902058662288,18.756877920649362,0.2651731632645675,10.960038569409699,9.604294049071907
LightGBM,log_target_price,Low,597,1.427693562535246,2.171609332567286,0.34810618776116753,1.0533224774333538,-0.4766956381552204
LightGBM,log_target_price,Mid,437,2.412978610481715,3.1169305014957165,0.20557913810396308,2.0380087625108327,0.3753358601441417
LightGBM,log_target_price,High,252,4.397349978369134,5.66050195994393,0.1990945763575716,3.624365017119903,1.2640636840385422
LightGBM,log_target_price,Premium,174,9.971980066746905,13.023479926507004,0.20512486839847227,7.728846773857155,5.837492068004431
LightGBM,target_price,Low,597,1.5862263131527785,2.471638244496249,0.3955171764257923,1.140275106314899,-0.8614493443199706
LightGBM,target_price,Mid,437,2.407934741376553,3.1849995520932546,0.20541060470019978,2.026647332017186,-0.0692423037985312
LightGBM,target_price,High,252,4.437024637753857,5.693043931235138,0.20036371252534155,3.5223218975444306,0.5864287482941476
LightGBM,target_price,Premium,174,9.693118106188452,12.659685878477214,0.2002387580595348,7.740889125682283,4.757091567981417
LinearRegression,log_target_price,Low,597,1.590068899783949,2.1237478996607395,0.4105065829702836,1.2559437560147764,-0.7572866603014604
LinearRegression,log_target_price,Mid,437,2.8927237578670932,3.666312800749482,0.24219123543402157,2.434657986646883,0.8427639014244552
LinearRegression,log_target_price,High,252,5.949294997877822,7.595400615050967,0.2702709706562743,4.7468884324043685,1.4482948499670811
LinearRegression,log_target_price,Premium,174,12.843680673162325,16.423204973584767,0.26899004844091157,10.154730199722433,6.246191245094276
LinearRegression,target_price,Low,597,2.669141119236122,3.510851975704996,0.6534340249568231,2.082609519562814,-0.8044212856714142
LinearRegression,target_price,Mid,437,3.293672849045283,4.404821087885894,0.2815000842110113,2.4806717304371855,-1.0931996217415336
LinearRegression,target_price,High,252,5.654319026009412,7.610167454747803,0.2568541936526885,4.1650390625,-1.2039628603975026
LinearRegression,target_price,Premium,174,14.020296310449861,18.793872052514782,0.2655823339976574,11.111086082062814,9.687946888097297
RandomForest,log_target_price,Low,597,1.6248574382430365,2.493649976636661,0.38837727071929096,1.1874939561247628,-0.6136230370447948
RandomForest,log_target_price,Mid,437,2.5776853971917952,3.3769693978746007,0.21985819459367167,2.0000039930288693,0.18898985210132804
RandomForest,log_target_price,High,252,4.29557444307572,5.773917600323195,0.19420232604835977,3.0872969919808817,0.7995222262013404
RandomForest,log_target_price,Premium,174,10.370971082537169,13.728343242742852,0.208888703158621,8.224394174074009,7.761778334975497
RandomForest,target_price,Low,597,1.7457521203252133,2.7899936795710087,0.4319455618270506,1.2649064273689268,-0.9083714217447527
RandomForest,target_price,Mid,437,2.671454574155602,3.618303117560876,0.22813026427533406,2.0023838782222008,-0.3686773871307102
RandomForest,target_price,High,252,4.322959418529693,5.783439893367477,0.1960300650095402,3.213463471640196,-0.05842784118999756
RandomForest,target_price,Premium,174,9.639746477837559,12.780752159144733,0.19627730703920804,7.59924461904761,5.942195572443774
Ridge,log_target_price,Low,597,1.587770483160053,2.1225113987940234,0.4100463475662801,1.2349323999201554,-0.7578447360868592
Ridge,log_target_price,Mid,437,2.895602878706936,3.6769766477155414,0.24229937814636238,2.4042227347418654,0.8448339979794558
Ridge,log_target_price,High,252,5.975874584075209,7.62066493287713,0.2714078365100698,4.715270168684601,1.4373645476345775
Ridge,log_target_price,Premium,174,12.916973593106423,16.521624586956086,0.2703082224753286,10.432482939750233,6.385213403377457
Ridge,target_price,Low,597,2.6562084311221,3.489865669282726,0.6492352855837804,2.056150634527922,-0.769159517688607
Ridge,target_price,Mid,437,3.2966584658796094,4.412676632262775,0.281783836757522,2.509667252193813,-1.095924877008974
Ridge,target_price,High,252,5.678955554028868,7.642006236931398,0.258057116457289,4.139027555793513,-1.2624639109068434
Ridge,target_price,Premium,174,13.987922610106619,18.753707640930894,0.2651160840207783,10.97943893825009,9.59980405064535
