mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_strength,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_bagging_temperature,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
13.912642669677734,3.802474594037151,0.03483142852783203,0.01733264747980445,0.5,0.03,10,500,8,5,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 10, 'iterations': 500, 'depth': 8, 'bagging_temperature': 5}",-5.774180361763472,-5.416525689068692,-5.281611551309557,-6.232936703701937,-5.845973721279703,-5.710245605424673,0.3363671506943791,32,5.710245605424673
5.6775439262390135,0.9574174748639321,0.08492088317871094,0.12132099837102703,0.5,0.03,15,500,7,0.5,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 15, 'iterations': 500, 'depth': 7, 'bagging_temperature': 0.5}",-5.910885552084312,-5.6108435483527,-5.422283086002462,-6.472437917681513,-6.111639110127062,-5.90561784284961,0.36993563776318594,36,5.90561784284961
88.60910158157348,3.6827222657830827,0.08568615913391113,0.05161577093830128,2,0.08,5,1200,10,0.5,"{'random_strength': 2, 'learning_rate': 0.08, 'l2_leaf_reg': 5, 'iterations': 1200, 'depth': 10, 'bagging_temperature': 0.5}",-5.712210736839993,-5.094495101208335,-5.1455807770684014,-5.786067755671354,-5.60162904240556,-5.467996682638729,0.29055903594351856,18,5.467996682638729
2.388742733001709,0.2797037439847786,0.029570722579956056,0.011382114461334457,0.5,0.08,15,500,4,5,"{'random_strength': 0.5, 'learning_rate': 0.08, 'l2_leaf_reg': 15, 'iterations': 500, 'depth': 4, 'bagging_temperature': 5}",-5.813382273498129,-5.216309791204079,-5.42151929690914,-5.88720337048749,-5.729148515788454,-5.6135126495774585,0.2541093028606448,29,5.6135126495774585
80.81902046203614,6.817411532047672,0.05330214500427246,0.010190510888794597,2,0.01,10,1200,10,2,"{'random_strength': 2, 'learning_rate': 0.01, 'l2_leaf_reg': 10, 'iterations': 1200, 'depth': 10, 'bagging_temperature': 2}",-5.871816564399693,-5.523421839058152,-5.412945864754192,-6.411916098140426,-5.870202638998168,-5.818060601070127,0.34905667069221574,35,5.818060601070127
37.90435652732849,6.9612010328080975,0.04363903999328613,0.01333954875489437,0.5,0.05,7,500,10,2,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 500, 'depth': 10, 'bagging_temperature': 2}",-5.636956480050791,-5.231268498452086,-5.0464944822162545,-6.0335937348280515,-5.57069287370694,-5.503801213850824,0.34242910569033064,23,5.503801213850824
50.77104606628418,3.2368065232544843,0.06737489700317383,0.03824651253393779,1,0.01,5,800,10,1,"{'random_strength': 1, 'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 800, 'depth': 10, 'bagging_temperature': 1}",-5.883355492007533,-5.588222941692534,-5.366767828181157,-6.4083441259717775,-5.800507754427944,-5.809439628456189,0.34903440393864443,34,5.809439628456189
14.819743967056274,2.988704611533312,0.027144813537597658,0.00832409698432185,0,0.03,1,1200,7,0,"{'random_strength': 0, 'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 1200, 'depth': 7, 'bagging_temperature': 0}",-5.591330062014165,-4.980828243898788,-4.952024695893796,-5.607738762610778,-5.430103161135262,-5.312404985110558,0.2893755993398024,4,5.312404985110558
8.061101913452148,1.7804825639737116,0.035677862167358396,0.011770867639313601,5,0.03,5,1200,5,0,"{'random_strength': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 1200, 'depth': 5, 'bagging_temperature': 0}",-5.554804090859567,-5.1010506093880705,-5.166105756660289,-5.700115790601428,-5.610137093263032,-5.426442668154477,0.24444736611355597,14,5.426442668154477
7.920776319503784,0.6741133384083001,0.03226385116577148,0.010781446329421709,2,0.01,3,500,8,2,"{'random_strength': 2, 'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 8, 'bagging_temperature': 2}",-6.009792112369423,-5.818419419000185,-5.650560418213232,-6.636951603314006,-6.136854328607345,-6.050515576300838,0.33670543481150345,38,6.050515576300838
