mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
8.153517627716065,0.5533660079333244,0.012517499923706054,0.0005452718992600339,0.9,5,0.1,31,800,10,6,0.08,0.7,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.7}",-5.559081823210151,-5.185468687802567,-5.128498785928869,-5.421477169421107,-5.6637416826731215,-5.391653629807164,0.20722753395228596,3,5.391653629807164
24.01503643989563,1.1062575589786565,0.04066290855407715,0.012410204006863934,1.0,0.1,1,31,1600,10,8,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 31, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-5.727796291548089,-5.376351117066695,-5.38044031202724,-5.5531768560100225,-5.875291760718183,-5.5826112674740465,0.1954601196109238,23,5.5826112674740465
18.49263014793396,0.6034552299767416,0.026177263259887694,0.0044864949274145095,0.7,0.1,1,127,800,80,-1,0.08,1.0,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': -1, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-6.409484904989943,-5.467503923501996,-5.410519945918831,-5.831311747181127,-6.02147767357002,-5.828059639032384,0.36873195454493,30,5.828059639032384
38.15471305847168,4.45644236435633,0.05011849403381348,0.006118117931414131,1.0,0,0,63,1600,10,10,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 63, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-5.818913359176607,-5.4065230974715455,-5.455390048618053,-5.673821920286253,-5.936284926556137,-5.658186670421719,0.20390056073805582,25,5.658186670421719
7.813480710983276,0.15044176285413347,0.012531471252441407,0.0011022597432694778,1.0,1,0.1,127,800,20,6,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-5.51240040907651,-5.182656675201046,-5.195136843844102,-5.628696005870412,-5.762780083676911,-5.456334003533796,0.2323293085206271,8,5.456334003533796
12.51103458404541,0.18960723827901768,0.01650400161743164,0.0013490832695451514,1.0,0.01,0,31,800,20,10,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.499735814226721,-5.2027116803853195,-5.165963451514279,-5.690923794337245,-5.788473223558183,-5.469561592804349,0.250996829975534,11,5.469561592804349
8.067989492416382,0.4814623300261937,0.010020256042480469,0.0005543928922912475,0.9,0.1,0.1,31,500,10,8,0.03,0.7,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-5.515847266332938,-5.1022575554501435,-5.065949514973688,-5.503238727795045,-5.672742331166468,-5.372007079143657,0.24281246878451865,2,5.372007079143657
17.144659280776978,0.6274081697017132,0.0291384220123291,0.01394635302882574,0.8,0.01,0,31,800,20,10,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-5.4501989349304925,-5.318022668996997,-5.148764003605235,-5.769952748075486,-5.81387983704738,-5.500163638531118,0.2570437801834579,15,5.500163638531118
11.27142596244812,0.23645433949629074,0.01976327896118164,0.000989733656138678,0.7,0,0.01,63,1200,40,6,0.05,0.7,"{'subsample': 0.7, 'reg_lambda': 0, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 1200, 'min_child_samples': 40, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-5.517081839996271,-5.303123764023459,-5.1689472716944165,-5.729388001282917,-5.823536354725182,-5.508415446344449,0.24721993436778858,17,5.508415446344449
5.93020191192627,0.23508723903944947,0.01299300193786621,0.0020520002949380046,0.8,1,0.01,63,800,20,4,0.05,0.9,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.50918633482372,-5.264846415114137,-5.168803277489252,-5.612876189349044,-5.7780439073871195,-5.466751224832654,0.22342556234255861,9,5.466751224832654
8.582340097427368,0.09039553469702849,0.012618303298950195,0.0008050303078661377,1.0,5,0.01,127,800,80,6,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.01, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-6.269519787869873,-6.480346164338396,-6.156836834738403,-6.372796091696568,-6.494095309335705,-6.354718837595789,0.12802419954370747,39,6.354718837595789
10.974867916107177,0.4250405008580424,0.018606901168823242,0.0007168726922856134,1.0,0.01,0.01,31,1200,80,6,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 1200, 'min_child_samples': 80, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-6.33143421806527,-5.342833603305013,-5.389072657636119,-5.780693625857117,-5.963689652303619,-5.761544751433427,0.36879743240489216,29,5.761544751433427
13.233841848373412,0.949458709632095,0.02111821174621582,0.0003883111152634303,0.8,0.1,0.01,15,1200,80,8,0.01,1.0,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'num_leaves': 15, 'n_estimators': 1200, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-6.238302908212515,-6.115578148541202,-5.896864876461182,-6.156007214842757,-6.316494410474308,-6.144649511706393,0.14189643755225612,36,6.144649511706393
20.28442749977112,0.9103405768043251,0.02132754325866699,0.0016040770562421218,0.8,0.1,1,63,800,20,10,0.03,0.9,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-5.449436223868097,-5.312770444429726,-5.094758459546543,-5.649280931084679,-5.7482966718875135,-5.450908546163311,0.2339737111308773,6,5.450908546163311
12.226882219314575,0.0888820637843851,0.02532362937927246,0.007786370224012708,0.8,0,0,15,1200,80,8,0.08,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 1200, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-6.401352572399392,-5.344080969461866,-5.367230647304845,-5.696379640859677,-5.954942574039466,-5.7527972808130485,0.3950646245756549,28,5.7527972808130485
21.84628701210022,1.5730322485155002,0.034302568435668944,0.004013735298517943,1.0,1,0,127,1600,10,6,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 127, 'n_estimators': 1600, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.565884226071483,-5.326731662359035,-5.303831956779203,-5.462024145342014,-5.7780461576577835,-5.487303629641904,0.17366081393272917,13,5.487303629641904
113.71272978782653,0.50111662086977,0.09530940055847167,0.024091877250771276,1.0,1,1,127,1200,10,-1,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 1200, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-5.665747095563922,-5.269577868700701,-5.260272695046649,-5.504831568976798,-5.764327768070118,-5.492951399271638,0.20380369878446894,14,5.492951399271638
3.594123601913452,0.05929528465949694,0.008711147308349609,0.0007506105041218765,0.7,5,0.01,127,500,10,4,0.03,0.9,"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.01, 'num_leaves': 127, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-5.665667211994953,-5.447452928881728,-5.345198179017791,-5.939140030116072,-5.766591796088274,-5.632810029219764,0.21442623723688384,24,5.632810029219764
4.677070140838623,0.20693083798098363,0.011124849319458008,0.00047898853872151587,0.7,5,0,31,800,80,4,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-6.29854106970164,-6.566621140457777,-6.340442046657962,-6.488293686597954,-6.6535163277181155,-6.4694828542266904,0.13381377892155166,40,6.4694828542266904
5.954622840881347,0.2712122198221536,0.011114883422851562,0.001021263632232303,1.0,5,0.1,31,800,10,4,0.08,0.8,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 800, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",-5.550002964518158,-5.162611850784,-5.084869716755874,-5.558168628706456,-5.618923671795679,-5.394915366512033,0.22404318327537004,4,5.394915366512033
6.918621492385864,0.6249193161838035,0.012551593780517577,0.000610770856363908,0.8,0.1,0,127,800,80,6,0.03,1.0,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-6.294005068209203,-5.759326366350803,-5.634761051452298,-6.057759861465696,-6.12008405170772,-5.973187279837144,0.24162948448451319,32,5.973187279837144
22.3408314704895,0.1557096004516384,0.018905782699584962,0.00038746663729093887,1.0,1,1,63,500,40,-1,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.615522718893379,-5.454095561944465,-5.187099531668449,-5.68798552366173,-5.962557935440068,-5.581452254321618,0.2567042933690056,21,5.581452254321618
9.305983877182006,0.15720930825638527,0.020683908462524415,0.00020936570290212538,0.7,1,0.01,31,1600,40,4,0.08,1.0,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 1600, 'min_child_samples': 40, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-5.5718679998505625,-5.252708550329268,-5.16614839418134,-5.603248041993062,-5.77350119897152,-5.47349483706515,0.22791463792118144,12,5.47349483706515
45.182430791854856,0.08986762116431622,0.040975093841552734,0.006216887260716195,0.9,0.1,0,127,800,40,-1,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-5.6235359126188715,-5.420270800649873,-5.22938773338196,-5.689708984006692,-5.92099453650245,-5.5767795934319695,0.23605051760994492,20,5.5767795934319695
